# CPace v0.1.2 FuzzProtocolConsistency targeted rerun
host=iMacPro.local
target_tag=v0.1.2
target_commit=4e661bc1f925ebedf1f270668129d85bab73e468
worktree=/Users/josh/code/fuzz/cpace-v012-protocolconsistency-rerun-imacpro-20260510T234441Z/repo
started_utc=2026-05-10T23:44:41Z

checked_out_commit=4e661bc1f925ebedf1f270668129d85bab73e468
## HEAD (no branch)
go version go1.26.3 darwin/amd64
goos=darwin
goarch=amd64

command=FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzProtocolConsistency -fuzztime=4h .

fuzz: elapsed: 0s, gathering baseline coverage: 0/35 completed
fuzz: elapsed: 12m6s, execs: 34108243 (48143/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m9s, execs: 34246706 (46155/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m12s, execs: 34391180 (48158/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m15s, execs: 34535568 (48162/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m18s, execs: 34671815 (45415/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m21s, execs: 34815556 (47905/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m24s, execs: 34954913 (46450/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m27s, execs: 35099153 (48083/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m30s, execs: 35239388 (46723/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m33s, execs: 35372976 (44557/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m36s, execs: 35522923 (49972/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m39s, execs: 35655955 (44332/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m42s, execs: 35800293 (48133/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m45s, execs: 35941895 (47181/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m48s, execs: 36081195 (46456/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m51s, execs: 36228482 (49096/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m54s, execs: 36365545 (45688/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m57s, execs: 36506481 (46979/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 13m0s, execs: 36647812 (47078/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 13m3s, execs: 36789872 (47384/sec), new interesting: 0 (total: 35)
